"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","-----BEGIN CERTIFICATE-----\nMIIG0DCCBbigAwIBAgIQBWCdfrL1UKUv+RxXWi1F5TANBgkqhkiG9w0BAQsFADBgMQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMRkwFwYDVQQLExB3d3cuZGlnaWNlcnQuY29tMR8wHQYDVQQDExZHZW9UcnVzdCBUTFMgUlNBIENBIEcxMB4XDTI2MDMwOTAwMDAwMFoXDTI2MDkyMzIzNTk1OVowgaAxCzAJBgNVBAYTAkZSMRcwFQYDVQQIDA7DjmxlLWRlLUZyYW5jZTESMBAGA1UEBxMJTW9udHJldWlsMT0wOwYDVQQKDDRBZ2VuY2UgQ2VudHJhbGUgRGVzIE9yZ2FuaXNtZXMgRGUgU8OpY3VyaXTDqSBTb2NpYWxlMSUwIwYDVQQDDBwqLmF1dG9lbnRyZXByZW5ldXIudXJzc2FmLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAzHl0kx+e2sOZ0iZg9//y6lZCxMesW6KzC3xiWtriC+dCwLddLeGuPMTrC51s6ok56FvOenT9h0DPeCMtmQiIfCgPuBLigOwP0dYnI7FqXs+/6hgBNrV0ZoKPIouYlz70uZ257kBgXPdhX4UCy5LiHVD5vheBhCUb/mNIqlUdzqhJSgBr4/2yqvR64B0J3tMkIf0x6lP6gIcgTCqzwWre0Y94XOldtCpqMz2Aa9ocxtNynepATlfHFhYwglwfTFOC798pfcSGw5PbPGtA0Fi9vYz2rzqPqZ9aaXx8mkotB9pn/Rdlo41AqdbLd+OE8K1MBDsyKmjaBsgJMR595CycJQIDAQABo4IDQzCCAz8wHwYDVR0jBBgwFoAUlE/UXYvkpOKmgP792PkA76O+AlcwHQYDVR0OBBYEFFsc1HRf77gJdfTYCClibIAjvHhLMEMGA1UdEQQ8MDqCHCouYXV0b2VudHJlcHJlbmV1ci51cnNzYWYuZnKCGmF1dG9lbnRyZXByZW5ldXIudXJzc2FmLmZyMD4GA1UdIAQ3MDUwMwYGZ4EMAQICMCkwJwYIKwYBBQUHAgEWG2h0dHA6Ly93d3cuZGlnaWNlcnQuY29tL0NQUzAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMD8GA1UdHwQ4MDYwNKAyoDCGLmh0dHA6Ly9jZHAuZ2VvdHJ1c3QuY29tL0dlb1RydXN0VExTUlNBQ0FHMS5jcmwwdgYIKwYBBQUHAQEEajBoMCYGCCsGAQUFBzABhhpodHRwOi8vc3RhdHVzLmdlb3RydXN0LmNvbTA+BggrBgEFBQcwAoYyaHR0cDovL2NhY2VydHMuZ2VvdHJ1c3QuY29tL0dlb1RydXN0VExTUlNBQ0FHMS5jcnQwDAYDVR0TAQH/BAIwADCCAYAGCisGAQQB1nkCBAIEggFwBIIBbAFqAHcAwjF+V0UZo0XufzjespBB68fCIVoiv3/Vta12mtkOUs0AAAGc0f2T8gAABAMASDBGAiEA80iWOQGIayfqqA7mGZCumr8b+ozKjhYex+LDKOcYjFgCIQDa2irTn5MZO8MgORpYTURJahX6mvehCFyI01tMvrSB2QB2ANgJVTuUT3r/yBYZb5RPhauw+Pxeh1UmDxXRLnK7RUsUAAABnNH9k/kAAAQDAEcwRQIgGSqKSJCUqpYIvwL9Zk8waJKOOGAmSqCtcgbNumeeFR4CIQCj5fgefAMc9x8qfQcnXkNDHrPO5SvRPVVyWCkpm6dRmQB3AJROQ4f67MHvgfMZJCaoGGUBx9NfOAIBP3JnfVU3LhnYAAABnNH9k/8AAAQDAEgwRgIhAIiXqhgUCdrJtrScJJA8ZlpLPN7p4lpDEIh/MuyGPM8aAiEA8kFVPKFUbshcz1aXPcUlY2WJrBXY6n6tyWlrSCoZ9hEwDQYJKoZIhvcNAQELBQADggEBAA0iC3RKfhOh+YLO4Wf2KYDOl0px2fZ22wm3OiEfe1+iqPpL1QCa6ec43QLOfb1J9jltRcmTqiZPQ9kaw7URaXuParm4IwnquLxQw31dow+koE4URhhBzEsJvdH6GEY1dzbXcqz+GedTidTKxBM13QEAUvoYw9kQI76tY3BlIbkxgEM4o/x9BzujXUx+Hfvv4kMi4DdgtOouKX8YTWak+Zrclk7VaIH2WQg9Scn3h1i0RE0fdgkDmXPhoktHOJAQFtmW/Iio1Px7YYIlqKy3n8k6Vyc1/Emkqckgu0mC5wbvumEwM/6l3qKDkzxSvKzrALZl18hUuAxq9fIYCO02/o8=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","*.autoentrepreneur.urssaf.fr","",""
"cert_commonName_wo_SNI","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","*.autoentrepreneur.urssaf.fr","",""
"cert_subjectAltName","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","*.autoentrepreneur.urssaf.fr autoentrepreneur.urssaf.fr","",""
"cert_trust","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","Ok via SAN wildcard and CN wildcard (same w/o SNI)","",""
"cert_trust_wildcard","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","no","",""
"cert_expirationStatus","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","OK","171 >= 60 days","",""
"cert_notBefore","www.autoentrepreneur.urssaf.fr/193.178.136.237","443","INFO","2026-03-09 00:00","",""
