"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.urssaf.fr/193.178.136.246","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGmTCCBYGgAwIBAgIQCvwCCRCialFmmio7+NzZxzANBgkqhkiG9w0BAQsFADBgMQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMRkwFwYDVQQLExB3d3cuZGlnaWNlcnQuY29tMR8wHQYDVQQDExZHZW9UcnVzdCBUTFMgUlNBIENBIEcxMB4XDTI1MTAwMTAwMDAwMFoXDTI2MDkzMDIzNTk1OVowgY8xCzAJBgNVBAYTAkZSMRcwFQYDVQQIDA7DjmxlLWRlLUZyYW5jZTESMBAGA1UEBxMJTW9udHJldWlsMT0wOwYDVQQKDDRBZ2VuY2UgQ2VudHJhbGUgRGVzIE9yZ2FuaXNtZXMgRGUgU8OpY3VyaXTDqSBTb2NpYWxlMRQwEgYDVQQDDAsqLnVyc3NhZi5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMpJopok4IuCKAtiECBedvUONk4qaihgZzhKU76DlmQLSaAVjvJqY7LVbBi8Yh47YPotWGr5DzCU18+YOa3EjPE1FlOtJcLo1FyH0RfGFLV1j2jCUt4E+FDuka8Pmy1VhRtuK8A+BuU18hoKnnEsY5ns9ocEI/5MufODzSVOQ3KlxBVZfiCa1WdTtb9ouXs/mHCUS1oFqGZiu6Dh84n/VGwJ88TFaFKaoXWxSJf885gHo8rFlCv9HVIM+upSwnRlKbbZs1uk3sS/ESqUdF1erLXcTHuNFFOivNB86uQOFKQzx3EsnDbWCx1XQQL47eeiCT1Q9JPbmzWEieo+8Snf1TMCAwEAAaOCAx0wggMZMB8GA1UdIwQYMBaAFJRP1F2L5KTipoD+/dj5AO+jvgJXMB0GA1UdDgQWBBQam/iCUsi53BS/U9SPqMsbrhbjyTAhBgNVHREEGjAYggsqLnVyc3NhZi5mcoIJdXJzc2FmLmZyMD4GA1UdIAQ3MDUwMwYGZ4EMAQICMCkwJwYIKwYBBQUHAgEWG2h0dHA6Ly93d3cuZGlnaWNlcnQuY29tL0NQUzAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMD8GA1UdHwQ4MDYwNKAyoDCGLmh0dHA6Ly9jZHAuZ2VvdHJ1c3QuY29tL0dlb1RydXN0VExTUlNBQ0FHMS5jcmwwdgYIKwYBBQUHAQEEajBoMCYGCCsGAQUFBzABhhpodHRwOi8vc3RhdHVzLmdlb3RydXN0LmNvbTA+BggrBgEFBQcwAoYyaHR0cDovL2NhY2VydHMuZ2VvdHJ1c3QuY29tL0dlb1RydXN0VExTUlNBQ0FHMS5jcnQwDAYDVR0TAQH/BAIwADCCAXwGCisGAQQB1nkCBAIEggFsBIIBaAFmAHYA1219ENGn9XfCx+lf1wC/+YLJM1pl4dCzAXMXwMjFaXcAAAGZnwG23gAABAMARzBFAiBBnUgEF1ePjktlxW0mGkjif4m/l+2ePzcnAoAPhmi6vwIhAJzjrCdeYRhMGc6gB0P9dThU0iqIS3tvogePHnE/z266AHUAwjF+V0UZo0XufzjespBB68fCIVoiv3/Vta12mtkOUs0AAAGZnwG3DQAABAMARjBEAiAsofPnVbBPrcDnPuENieS5xa9jeA9D+2PCeH+3TOKKpwIgMk8npu+YaRgmacepBqsY0ME/yHSECywNFNLfCTPyB5gAdQCUTkOH+uzB74HzGSQmqBhlAcfTXzgCAT9yZ31VNy4Z2AAAAZmfAbcjAAAEAwBGMEQCIDCIxu6GMrrdF5HmDph+XGiC+YZawgTwKcvkRgqenie2AiA2zb9byryMdB1k3obMMQhN3LLLtnccHbQoKIpiVcluLDANBgkqhkiG9w0BAQsFAAOCAQEAQQGUITfWKlDy+rVGRrHKpemr5exvnKUVNgj1fdxIowkqnA3HZUgZwdSMFTAxELnSo/DSLOA7i0KaegBwdPSOFTGIG9uw3yO7o3uVXVmCYY7yR+fAGuOhJEi0he36dlS/ORRO6/DoActiVxDgQFE7f6qtti9sILzoaDT+KBnot5UDD8dC9o/XbtCo7SuWJfOCK9Mm9jMV3pceOaRadcT0sdyugU28dXom6BR+8ZwvHqk7HR9wpIETe7iDMerZIThth2mZNnvkKQayvBGmI1PTngNRmvue6Q8gx5K7KCWOJa+gxh0JRGK7epx6LmUFEoDWZOhB8g60GmLAcc2zmh0jVg==\n-----END CERTIFICATE-----","",""
"cert_commonName","www.urssaf.fr/193.178.136.246","443","OK","*.urssaf.fr","",""
"cert_commonName_wo_SNI","www.urssaf.fr/193.178.136.246","443","INFO","*.urssaf.fr","",""
"cert_subjectAltName","www.urssaf.fr/193.178.136.246","443","INFO","*.urssaf.fr urssaf.fr","",""
"cert_trust","www.urssaf.fr/193.178.136.246","443","OK","Ok via SAN wildcard and CN wildcard (same w/o SNI)","",""
"cert_trust_wildcard","www.urssaf.fr/193.178.136.246","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","www.urssaf.fr/193.178.136.246","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.urssaf.fr/193.178.136.246","443","INFO","no","",""
"cert_expirationStatus","www.urssaf.fr/193.178.136.246","443","OK","150 >= 60 days","",""
"cert_notBefore","www.urssaf.fr/193.178.136.246","443","INFO","2025-10-01 00:00","",""
